City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,Kavaratti,10.5669,72.642,83.8,74,16,19.19,IN,2021-05-29 03:24:33
187,Tanout,14.9709,8.8879,83.59,11,100,7.92,NE,2021-05-29 03:24:33
188,Hasaki,35.7333,140.8333,79.2,73,100,20.65,JP,2021-05-29 03:17:16
189,Sitka,57.0531,-135.33,48.09,76,90,8.05,US,2021-05-29 03:17:34
190,Aquin,18.2833,-73.4,76.96,82,8,3.33,HT,2021-05-29 03:24:33
191,Cidreira,-30.1811,-50.2056,62.6,96,100,10.71,BR,2021-05-29 03:16:35
192,Tomatlan,19.9333,-105.25,75.58,81,100,2.68,MX,2021-05-29 03:24:34
193,Port Elizabeth,-33.918,25.5701,57.09,67,2,20.69,ZA,2021-05-29 03:12:02
194,Ambon,-3.6954,128.1814,80.74,83,40,11.9,ID,2021-05-29 03:24:34
195,Muros,42.7762,-9.0603,59.5,88,5,8.37,ES,2021-05-29 03:18:10
196,Berlevag,70.8578,29.0864,35.55,74,100,22.15,NO,2021-05-29 03:18:06
197,Tasiilaq,65.6145,-37.6368,42.96,92,100,32.79,GL,2021-05-29 03:17:57
198,Khani,41.9563,42.9566,56.77,83,93,4.61,GE,2021-05-29 03:24:34
199,Fortuna,40.5982,-124.1573,55.65,63,1,1.01,US,2021-05-29 03:16:37
200,Camacha,33.0833,-16.3333,63.36,72,20,4.61,PT,2021-05-29 03:24:35
201,Mabaruma,8.2,-59.7833,72.36,99,18,2.73,GY,2021-05-29 03:24:35
202,Atuona,-9.8,-139.0333,79.05,72,25,14.18,PF,2021-05-29 03:16:43
203,Poum,-20.2333,164.0167,73.06,68,4,20.36,NC,2021-05-29 03:24:36
204,Saint Anthony,45.0205,-93.218,52.75,67,1,3.58,US,2021-05-29 03:16:25
205,Dutlwe,-23.9833,23.9,52.16,41,6,8.16,BW,2021-05-29 03:24:36
206,Saint-Augustin,51.226,-58.6502,41.04,63,35,18.95,CA,2021-05-29 03:24:36
207,Santa Isabel,-23.3156,-46.2214,79.9,59,73,10.02,BR,2021-05-29 03:24:36
208,Hofn,64.2539,-15.2082,46.35,97,100,10.29,IS,2021-05-29 03:24:37
209,Kaitangata,-46.2817,169.8464,53.92,78,100,8.25,NZ,2021-05-29 03:16:30
210,Normandin,48.8333,-72.5321,39.51,52,0,5.75,CA,2021-05-29 03:24:37
211,Arraial Do Cabo,-22.9661,-42.0278,73.42,91,63,27.47,BR,2021-05-29 03:16:17
212,Yerofey Pavlovich,53.9667,121.9667,55.53,57,96,4.56,RU,2021-05-29 03:24:37
213,Markova,48.6758,24.4138,47.17,95,72,3.69,UA,2021-05-29 03:24:37
214,Saskylakh,71.9167,114.0833,44.89,49,90,14.18,RU,2021-05-29 03:16:23
215,Nagapattinam,10.7667,79.8333,87.67,59,100,12.19,IN,2021-05-29 03:24:38
216,Komsomolskiy,40.4272,71.7189,81.32,32,0,4.61,UZ,2021-05-29 03:16:53
217,Shiloh,38.5614,-89.8973,51.75,93,90,9.22,US,2021-05-29 03:24:38
218,Saint-Louis,16.3333,-15.0,77.25,40,95,14.2,SN,2021-05-29 03:24:38
219,Navahrudak,53.6,25.8333,43.11,94,57,4.92,BY,2021-05-29 03:24:39
220,Nanortalik,60.1432,-45.2371,35.73,97,100,0.87,GL,2021-05-29 03:16:38
221,Chifeng,42.2683,118.9636,65.5,28,0,6.22,CN,2021-05-29 03:21:04
222,Plettenberg Bay,-34.0527,23.3716,58.95,78,75,10.0,ZA,2021-05-29 03:24:02
223,Rundu,-17.9333,19.7667,48.7,44,0,2.89,NA,2021-05-29 03:24:39
224,Ugoofaaru,5.6667,73.0,83.8,72,24,19.77,MV,2021-05-29 03:24:39
225,Airai,-8.9266,125.4092,69.93,62,92,3.4,TL,2021-05-29 03:16:50
226,Iracoubo,5.4802,-53.2011,75.06,98,100,13.27,GF,2021-05-29 03:24:40
227,Kavieng,-2.5744,150.7967,85.69,68,51,8.68,PG,2021-05-29 03:17:18
228,Laguna,38.421,-121.4238,80.44,51,1,5.99,US,2021-05-29 03:24:40
229,Navrongo,10.8956,-1.0921,84.61,52,9,2.95,GH,2021-05-29 03:24:40
230,Petrolina,-9.3986,-40.5008,69.8,57,0,9.33,BR,2021-05-29 03:24:41
231,Sao Filipe,14.8961,-24.4956,72.57,78,6,11.74,CV,2021-05-29 03:16:49
232,Nacala,-14.5428,40.6728,66.61,91,0,3.56,MZ,2021-05-29 03:24:41
233,Ust-Tsilma,65.441,52.1498,40.05,96,100,7.18,RU,2021-05-29 03:24:41
234,Yumen,40.2833,97.2,76.75,19,3,4.29,CN,2021-05-29 03:24:41
235,Dudinka,69.4058,86.1778,30.83,95,100,13.65,RU,2021-05-29 03:17:55
236,The Valley,18.217,-63.0578,80.46,74,0,13.53,AI,2021-05-29 03:16:23
237,Burgeo,47.6167,-57.6152,39.81,68,3,24.83,CA,2021-05-29 03:17:22
238,Stalowa Wola,50.5829,22.0533,50.86,88,100,3.0,PL,2021-05-29 03:24:42
239,Sao Felix Do Xingu,-6.6447,-51.995,75.65,72,100,1.97,BR,2021-05-29 03:24:42
240,Waddan,29.1614,16.139,85.21,17,1,10.33,LY,2021-05-29 03:17:40
241,Beringovskiy,63.05,179.3167,33.6,82,14,13.27,RU,2021-05-29 03:17:45
242,Saint-Pierre,-21.3393,55.4781,68.29,61,0,6.91,RE,2021-05-29 03:16:25
243,Sur,22.5667,59.5289,90.48,41,35,2.95,OM,2021-05-29 03:17:18
244,Iberia,29.9502,-91.7507,73.47,88,1,3.53,US,2021-05-29 03:24:43
245,Havelock,34.8791,-76.9013,77.02,91,1,10.0,US,2021-05-29 03:16:20
246,Longyearbyen,78.2186,15.6401,33.64,60,20,17.27,SJ,2021-05-29 03:16:16
247,Ulladulla,-35.35,150.4667,57.78,52,55,15.57,AU,2021-05-29 03:16:54
248,San Andres,12.5847,-81.7006,82.42,78,40,11.5,CO,2021-05-29 03:24:43
249,Coihaique,-45.5752,-72.0662,33.75,69,0,3.44,CL,2021-05-29 03:17:02
250,Kachug,53.9606,105.8817,50.14,49,100,11.99,RU,2021-05-29 03:24:43
251,Bilma,18.6853,12.9164,83.64,10,68,4.36,NE,2021-05-29 03:17:17
252,Makungu,-8.7333,35.2833,53.11,97,3,2.66,TZ,2021-05-29 03:24:44
253,Owando,-0.4819,15.8999,74.46,78,100,0.13,CG,2021-05-29 03:24:44
254,Freetown,8.484,-13.2299,80.13,81,69,3.74,SL,2021-05-29 03:24:44
255,Wenling,28.3669,121.36,77.92,86,100,6.98,CN,2021-05-29 03:24:44
256,Norman Wells,65.282,-126.8329,39.24,56,75,8.05,CA,2021-05-29 03:17:30
257,Lady Frere,-31.7031,27.2329,46.6,66,0,7.23,ZA,2021-05-29 03:24:45
258,Shelburne,44.0787,-80.2041,41.76,86,4,7.11,CA,2021-05-29 03:24:45
259,Pisco,-13.7,-76.2167,66.25,82,90,2.3,PE,2021-05-29 03:17:09
260,Okhotsk,59.3833,143.3,41.38,78,97,14.85,RU,2021-05-29 03:18:02
261,Beira,-19.8436,34.8389,62.69,82,0,7.54,MZ,2021-05-29 03:24:45
262,Soubre,5.7856,-6.6083,73.72,99,94,2.04,CI,2021-05-29 03:24:45
263,Duluth,46.7833,-92.1066,44.08,52,1,12.66,US,2021-05-29 03:24:46
264,Taltal,-25.4,-70.4833,61.48,85,60,5.1,CL,2021-05-29 03:16:15
265,Saint-Francois,46.4154,3.9054,56.17,86,0,3.44,FR,2021-05-29 03:17:54
266,Sept-Iles,50.2001,-66.3821,41.05,57,40,5.01,CA,2021-05-29 03:21:38
267,Teguise,29.0605,-13.564,61.02,72,0,9.73,ES,2021-05-29 03:24:46
268,Safut,32.0336,35.8332,60.53,60,0,3.85,JO,2021-05-29 03:24:46
269,Balkhash,46.844,74.9804,70.41,23,0,22.37,KZ,2021-05-29 03:24:47
270,Ganganagar,29.9167,73.8833,103.21,13,0,7.18,IN,2021-05-29 03:24:47
271,Mecca,21.4267,39.8261,87.44,43,59,0.83,SA,2021-05-29 03:24:47
272,Kulhudhuffushi,6.6221,73.07,83.28,73,14,20.49,MV,2021-05-29 03:24:47
273,Mbanza-Ngungu,-5.25,14.8667,66.18,79,100,3.06,CD,2021-05-29 03:24:47
274,Grindavik,63.8424,-22.4338,50.56,93,75,28.1,IS,2021-05-29 03:17:55
275,Jijiga,9.35,42.8,60.57,89,8,7.31,ET,2021-05-29 03:24:48
276,Agadez,19.75,10.25,82.62,9,100,5.59,NE,2021-05-29 03:24:48
277,Saldanha,-33.0117,17.9442,59.16,80,46,6.93,ZA,2021-05-29 03:16:47
278,Swellendam,-34.0226,20.4417,59.38,82,0,5.41,ZA,2021-05-29 03:24:48
279,Neuquen,-38.9516,-68.0591,49.89,46,0,5.75,AR,2021-05-29 03:20:34
280,Morros,-9.4467,-46.3003,69.3,49,97,3.36,BR,2021-05-29 03:24:49
281,Najran,17.4924,44.1277,72.25,20,22,4.16,SA,2021-05-29 03:17:47
282,Yining,29.0361,114.5636,80.11,61,97,2.95,CN,2021-05-29 03:24:49
283,Bathsheba,13.2167,-59.5167,79.41,61,20,14.54,BB,2021-05-29 03:16:41
284,Sarkand,45.41,79.9186,69.8,50,99,5.3,KZ,2021-05-29 03:17:10
285,Te Anau,-45.4167,167.7167,43.3,98,100,6.38,NZ,2021-05-29 03:17:50
286,Turayf,31.6725,38.6637,66.45,37,0,0.0,SA,2021-05-29 03:24:49
287,Jiazi,22.8779,116.067,88.21,69,100,17.65,CN,2021-05-29 03:24:49
288,Sumbawanga,-7.9667,31.6167,52.14,78,73,2.3,TZ,2021-05-29 03:24:50
289,Carutapera,-1.195,-46.02,75.36,94,74,4.97,BR,2021-05-29 03:24:50
290,Pangkalanbuun,-2.6833,111.6167,83.08,85,96,0.74,ID,2021-05-29 03:24:50
291,Athabasca,54.7169,-113.2854,50.41,83,100,16.75,CA,2021-05-29 03:24:50
292,La Ronge,55.1001,-105.2842,57.45,54,75,4.61,CA,2021-05-29 03:24:50
