City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
500,Labuhan,ID,76.05,overcast clouds,-6.8844,112.2051,
501,Elizabeth City,US,55.45,clear sky,36.2946,-76.2511,
502,Wote,KE,65.71,light rain,-1.7808,37.6288,
504,Singaparna,ID,71.2,overcast clouds,-7.3515,108.111,
505,Laredo,US,82.85,clear sky,27.5064,-99.5075,
508,Dakar,SN,81.48,clear sky,14.6937,-17.4441,
509,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,
510,Liberal,US,81.16,clear sky,37.0431,-100.921,
513,Tateyama,JP,58.1,clear sky,34.9833,139.8667,
514,Tezu,IN,62.31,clear sky,27.9167,96.1667,
518,Jamundi,CO,78.76,broken clouds,3.2607,-76.535,
519,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,
520,Bac Lieu,VN,77.2,overcast clouds,9.285,105.7244,
521,Carnot,CF,71.85,light rain,4.9409,15.8665,
522,Dunmore East,IE,50.68,scattered clouds,52.1514,-6.9861,
524,Wilmington,US,64.98,clear sky,34.2257,-77.9447,
525,Rapar,IN,75.88,overcast clouds,23.5667,70.6333,
526,Yantzaza,EC,83.14,light rain,-3.8278,-78.7594,
529,Franca,BR,78.19,few clouds,-20.5386,-47.4008,
530,Siyabuswa,ZA,75.65,overcast clouds,-25.1132,29.0445,
532,Kimbe,PG,75.25,broken clouds,-5.5502,150.1429,
534,Kampong Thum,KH,73.53,light rain,12.7111,104.8887,
535,Boende,CD,71.26,overcast clouds,-0.2167,20.8667,
536,Sohag,EG,72.27,clear sky,26.557,31.6948,
540,Florence,IT,60.64,clear sky,43.7667,11.25,
541,Roald,NO,50.92,broken clouds,62.5833,6.1333,
542,Tamluk,IN,73.38,overcast clouds,22.3,87.9167,
543,Flinders,AU,54.81,clear sky,-34.5833,150.8552,
544,Namibe,AO,73.76,light rain,-15.1961,12.1522,
546,Ambilobe,MG,77.31,scattered clouds,-13.2,49.05,
547,Paka,MY,76.93,broken clouds,4.6374,103.4368,
548,Ranong,TH,75.54,moderate rain,9.9658,98.6348,
549,Manokwari,ID,77.97,overcast clouds,-0.8667,134.0833,
551,Hambantota,LK,79.83,overcast clouds,6.1241,81.1185,
553,Ojinaga,MX,84.58,clear sky,29.5667,-104.4167,
554,Bengkulu,ID,76.37,overcast clouds,-3.8004,102.2655,
556,Asosa,ET,64.67,overcast clouds,10.0667,34.5333,
557,Ganzhou,CN,61.29,overcast clouds,28.8184,115.4327,
560,Gold Coast,AU,63.03,overcast clouds,-28.0,153.4333,
562,Carballo,ES,57.0,overcast clouds,43.213,-8.691,
564,Calvia,ES,55.9,overcast clouds,39.5657,2.5062,
565,Rayong,TH,77.99,overcast clouds,12.8333,101.4333,
567,Mount Isa,AU,65.97,clear sky,-20.7333,139.5,
569,Cairns,AU,79.07,broken clouds,-16.9167,145.7667,
570,Mascote,BR,69.82,overcast clouds,-15.5631,-39.3025,
573,Pleasant Point,NZ,53.46,clear sky,-44.2667,171.1333,
574,Viedma,AR,55.87,overcast clouds,-40.8135,-62.9967,
